Configuration,Model,Accuracy,F1_Macro,Precision_Macro,Recall_Macro
3s_no,XGB,0.771,0.7652,0.7939,0.7672
5s_no,RF,0.767,0.7635,0.7838,0.7691
5s_no,XGB,0.7669,0.7611,0.785,0.7634
3s_no,RF,0.768,0.7611,0.7833,0.7639
5s_0.5,XGB,0.7674,0.7588,0.7828,0.7603
5s_0.5,RF,0.7655,0.7561,0.7816,0.7624
1s_no,RF,0.764,0.7561,0.7803,0.7605
2s_0.5,RF,0.7588,0.7521,0.7777,0.7556
3s_0.5,XGB,0.7602,0.7507,0.7785,0.7485
2s_0.5,XGB,0.7575,0.7506,0.7813,0.7497
4s_0.5,RF,0.7608,0.7504,0.7754,0.7562
3s_0.5,RF,0.758,0.7482,0.7705,0.7509
2s_no,RF,0.7559,0.7482,0.7741,0.751
4s_0.5,XGB,0.7561,0.7476,0.775,0.7532
4s_0.8,RF,0.7597,0.7464,0.7682,0.7512
2s_no,XGB,0.7524,0.7456,0.7768,0.7437
1s_0.5,XGB,0.7538,0.7449,0.7707,0.7431
2s_0.8,RF,0.7532,0.7439,0.7679,0.7468
3s_0.8,XGB,0.7555,0.7437,0.7708,0.7457
3s_0.8,RF,0.7561,0.7434,0.7698,0.7454
1s_0.5,RF,0.7508,0.7419,0.7655,0.7461
4s_0.8,XGB,0.754,0.7415,0.7704,0.7437
4s_no,RF,0.7503,0.7413,0.7678,0.7473
2s_0.8,XGB,0.7511,0.7398,0.7705,0.7402
1s_0.8,XGB,0.7481,0.7393,0.7659,0.7374
1s_0.8,RF,0.7465,0.7371,0.7558,0.7433
1s_no,XGB,0.7467,0.7369,0.7666,0.736
5s_0.8,XGB,0.7526,0.7339,0.7646,0.7358
4s_no,XGB,0.7417,0.7307,0.7622,0.7337
5s_0.8,RF,0.7466,0.7303,0.7599,0.7387
2s_no,DT,0.6693,0.6194,0.6559,0.6368
4s_0.8,DT,0.6666,0.6188,0.6927,0.6301
4s_no,DT,0.6265,0.6128,0.6103,0.6559
1s_0.8,DT,0.6366,0.6065,0.6036,0.6598
4s_0.5,DT,0.6468,0.5821,0.6295,0.6174
3s_no,DT,0.6425,0.5648,0.6078,0.6023
3s_0.5,DT,0.6049,0.5642,0.6438,0.5766
1s_no,DT,0.5987,0.5538,0.6052,0.5854
1s_0.5,DT,0.6011,0.5448,0.5732,0.5811
2s_0.8,DT,0.5944,0.542,0.6057,0.578
5s_0.5,DT,0.5991,0.5286,0.5257,0.5987
5s_no,DT,0.5773,0.5192,0.5529,0.6102
2s_0.5,DT,0.5531,0.5049,0.5506,0.5834
3s_0.8,DT,0.575,0.4882,0.5557,0.5083
5s_0.8,DT,0.5336,0.46,0.4737,0.6036
