Model,Fold,F1_Positive,Accuracy,AUC,Optimization_Score,Selector_K,Score_Function,N_Estimators,Max_Depth,Min_Samples_Split,Class_Weight,Learning_Rate,Subsample,Criterion
RF,1,0.6462,0.7677,0.8507,-0.5374,73,f_classif,93.0,16,18.0,balanced,,,
XGB,1,0.6349,0.7677,0.859,-0.5331,73,f_classif,449.0,8,,,0.013219189841089492,0.6857348449354894,
DT,1,0.6189,0.6599,0.7305,-0.5893,52,f_classif,,3,14.0,balanced,,,gini
RF,2,0.813,0.8544,0.8951,-0.5536,73,f_classif,137.0,15,17.0,balanced,,,
XGB,2,0.7812,0.8228,0.8787,-0.5567,73,f_classif,493.0,10,,,0.010701634331675657,0.9989746149706344,
DT,2,0.6842,0.6962,0.8342,-0.6488,21,f_classif,,2,15.0,balanced,,,gini
RF,3,0.7034,0.7266,0.7946,-0.5363,42,f_classif,351.0,13,4.0,,,,
XGB,3,0.6923,0.7188,0.7898,-0.5294,42,f_classif,388.0,7,,,0.013825900340709128,0.8992540750918806,
DT,3,0.661,0.6875,0.7088,-0.5743,94,f_classif,,3,16.0,,,,entropy
RF,4,0.6667,0.6936,0.7723,-0.4687,all,f_classif,256.0,8,4.0,balanced,,,
XGB,4,0.7,0.7225,0.7806,-0.473,94,f_classif,171.0,7,,,0.06933052866864518,0.8416568610725927,
DT,4,0.6024,0.6185,0.6285,-0.5599,21,f_classif,,1,13.0,balanced,,,entropy
RF,5,0.8032,0.8137,0.8947,-0.5458,73,f_classif,450.0,14,3.0,balanced,,,
XGB,5,0.783,0.8061,0.8889,-0.5515,73,f_classif,168.0,11,,,0.010071354127441702,0.7085909393271776,
DT,5,0.6639,0.6882,0.7364,-0.5462,31,f_classif,,5,2.0,,,,gini
