Configuration,Model,Accuracy,F1_Positive,Precision_Positive,Recall_Positive
5s_no,XGB,0.8083,0.7713,0.7703,0.7887
5s_0.8,RF,0.8009,0.7657,0.7762,0.7731
3s_0.8,RF,0.7999,0.7655,0.7554,0.7922
3s_no,RF,0.8028,0.7624,0.7511,0.7921
4s_0.8,RF,0.7887,0.7562,0.7458,0.7828
3s_0.5,RF,0.7936,0.7515,0.7461,0.7724
3s_no,XGB,0.7982,0.7512,0.7592,0.7575
5s_0.5,XGB,0.7976,0.7503,0.7596,0.7588
3s_0.5,XGB,0.7953,0.7465,0.7554,0.7505
5s_no,RF,0.7706,0.7455,0.6987,0.8187
2s_0.8,RF,0.7836,0.7441,0.727,0.7883
3s_0.8,XGB,0.775,0.7363,0.7343,0.7601
5s_0.8,XGB,0.7708,0.7348,0.7398,0.7506
1s_0.8,RF,0.775,0.7341,0.7064,0.7814
4s_0.8,XGB,0.7703,0.7333,0.742,0.7491
4s_0.5,RF,0.7712,0.7265,0.7268,0.7464
5s_0.5,RF,0.7586,0.7259,0.6958,0.7849
1s_no,RF,0.773,0.725,0.7052,0.7685
1s_0.5,RF,0.775,0.7234,0.7196,0.7522
1s_no,XGB,0.7778,0.7203,0.7296,0.7289
2s_0.8,XGB,0.7747,0.72,0.7385,0.7222
2s_no,RF,0.7629,0.7188,0.7051,0.7654
5s_0.8,DT,0.7065,0.7183,0.6394,0.8629
4s_0.5,XGB,0.7676,0.7183,0.7303,0.7299
2s_no,XGB,0.7749,0.717,0.7253,0.7258
2s_0.5,RF,0.7656,0.7123,0.7161,0.7363
4s_no,RF,0.7562,0.7115,0.7016,0.7579
1s_0.8,XGB,0.7665,0.7086,0.7221,0.714
2s_0.5,XGB,0.7652,0.7067,0.7197,0.7139
4s_no,XGB,0.7625,0.7059,0.7218,0.7224
5s_no,DT,0.7069,0.7036,0.6303,0.8369
5s_0.5,DT,0.7037,0.6992,0.608,0.8565
3s_no,DT,0.7136,0.6988,0.6162,0.8225
2s_0.8,DT,0.7053,0.6887,0.6153,0.8049
1s_0.5,XGB,0.7461,0.688,0.6841,0.7118
3s_0.5,DT,0.6947,0.6783,0.6106,0.8062
2s_no,DT,0.6999,0.6708,0.6046,0.7699
3s_0.8,DT,0.6924,0.6664,0.6192,0.7367
1s_no,DT,0.6862,0.6535,0.5939,0.7469
1s_0.8,DT,0.6981,0.6475,0.6052,0.7077
4s_0.5,DT,0.6701,0.6461,0.5985,0.7465
1s_0.5,DT,0.6939,0.6438,0.596,0.7169
2s_0.5,DT,0.6647,0.6254,0.5867,0.7217
4s_0.8,DT,0.6817,0.6173,0.6683,0.6884
4s_no,DT,0.6496,0.5968,0.6477,0.6816
