Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,Optimization_Score
1RF,1,0.7555,0.7231,0.7389,0.7288,0.7675,0.7555,0.7597,0.6009,0.6931,0.6437,0.8454,0.7847,0.8139,0.8406,k=all; n_est=336; depth=6,-0.5717
2RF,2,0.8123,0.8039,0.8363,0.8055,0.8479,0.8123,0.817,0.6645,0.9123,0.7689,0.9433,0.7603,0.842,0.9009,k=52; n_est=220; depth=11,-0.5067
3RF,3,0.779,0.7745,0.7877,0.775,0.7957,0.779,0.7816,0.6778,0.8273,0.7451,0.8712,0.7481,0.805,0.8646,k=52; n_est=316; depth=11,-0.496
4RF,4,0.7151,0.7483,0.7213,0.7087,0.7518,0.7151,0.7072,0.8484,0.5476,0.6656,0.6481,0.8949,0.7518,0.8094,k=73; n_est=350; depth=19,-0.4753
5RF,5,0.813,0.8124,0.8106,0.8113,0.8128,0.813,0.8128,0.8066,0.7809,0.7935,0.8182,0.8404,0.8291,0.8848,k=84; n_est=225; depth=12,-0.4793
1XGB,1,0.7522,0.714,0.7086,0.7111,0.7494,0.7522,0.7506,0.6166,0.5882,0.6021,0.8115,0.8289,0.8201,0.834,k=all; n_est=92; depth=11; lr=0.021,-0.5639
2XGB,2,0.7838,0.7824,0.8135,0.7779,0.8313,0.7838,0.7893,0.6273,0.9079,0.7419,0.9375,0.7192,0.814,0.8879,k=52; n_est=182; depth=6; lr=0.015,-0.5066
3XGB,3,0.6938,0.6922,0.7019,0.6896,0.7156,0.6938,0.6975,0.5856,0.7386,0.6532,0.7989,0.6651,0.7259,0.7726,k=21; n_est=489; depth=10; lr=0.067,-0.5167
4XGB,4,0.6986,0.7124,0.7027,0.6961,0.7147,0.6986,0.6952,0.7762,0.5873,0.6687,0.6486,0.8182,0.7236,0.8141,k=52; n_est=51; depth=3; lr=0.083,-0.4981
5XGB,5,0.802,0.8039,0.7972,0.7989,0.803,0.802,0.8009,0.815,0.7371,0.7741,0.7928,0.8574,0.8238,0.8831,k=84; n_est=235; depth=4; lr=0.015,-0.4821
1DT,1,0.7253,0.7024,0.7277,0.7058,0.757,0.7253,0.7333,0.5519,0.734,0.6301,0.8529,0.7213,0.7816,0.7781,k=21; depth=2,-0.6464
2DT,2,0.6922,0.6522,0.6356,0.6403,0.6806,0.6922,0.6834,0.5622,0.4561,0.5036,0.7422,0.8151,0.7769,0.7344,k=94; depth=5,-0.6134
3DT,3,0.6976,0.7283,0.7304,0.6975,0.7622,0.6976,0.6982,0.5734,0.8801,0.6944,0.8832,0.5806,0.7006,0.724,k=73; depth=3,-0.5693
4DT,4,0.6603,0.6599,0.659,0.659,0.6601,0.6603,0.6598,0.6641,0.6958,0.6796,0.6557,0.6222,0.6385,0.6963,k=31; depth=3,-0.5793
5DT,5,0.6939,0.7101,0.7031,0.6928,0.7166,0.6939,0.6913,0.6284,0.8187,0.7111,0.7918,0.5874,0.6745,0.7694,k=84; depth=3,-0.5733
RF,MEAN,0.775,0.7724,0.779,0.7659,0.7951,0.775,0.7757,0.7196,0.7522,0.7234,0.8252,0.8057,0.8084,0.8601,MEAN_VALUES,-0.5058
RF,STD,0.0369,0.0335,0.0431,0.0409,0.0339,0.0369,0.0402,0.0928,0.1245,0.0586,0.0979,0.0547,0.031,0.0324,STD_VALUES,0.0348
XGB,MEAN,0.7461,0.741,0.7448,0.7347,0.7628,0.7461,0.7467,0.6841,0.7118,0.688,0.7979,0.7778,0.7815,0.8383,MEAN_VALUES,-0.5135
XGB,STD,0.0438,0.0438,0.0498,0.0449,0.047,0.0438,0.0444,0.0928,0.1188,0.0621,0.0916,0.0731,0.0464,0.0433,STD_VALUES,0.0276
DT,MEAN,0.6939,0.6906,0.6912,0.6791,0.7153,0.6939,0.6932,0.596,0.7169,0.6438,0.7852,0.6653,0.7144,0.7404,MEAN_VALUES,-0.5963
DT,STD,0.0206,0.0295,0.0378,0.0251,0.0405,0.0206,0.0239,0.0431,0.1454,0.0751,0.0811,0.0902,0.0565,0.03,STD_VALUES,0.0295
