,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5932,0.602,0.5981,0.5908,0.604,0.5932,0.5893,0.6457,0.4932,0.5592,0.5582,0.703,0.6223,0.6974,"{'pca__n_components': 0.9, 'clf__n_estimators': 430, 'clf__max_depth': 4, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",0.9,430.0,4.0,3.0,7.0,sqrt,True,,,,,,,,,,
1,RF,2,0.6421,0.6453,0.6188,0.6126,0.6445,0.6421,0.6247,0.6525,0.4126,0.5055,0.6381,0.825,0.7196,0.6653,"{'pca__n_components': 0.99, 'clf__n_estimators': 492, 'clf__max_depth': 6, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.99,492.0,6.0,6.0,4.0,log2,False,,,,,,,,,,
2,RF,3,0.67,0.6638,0.6348,0.6343,0.6662,0.67,0.6543,0.65,0.4333,0.52,0.6776,0.8362,0.7486,0.7847,"{'pca__n_components': 0.99, 'clf__n_estimators': 359, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}",0.99,359.0,4.0,10.0,7.0,log2,True,,,,,,,,,,
3,RF,4,0.657,0.6463,0.6623,0.6433,0.6944,0.657,0.6657,0.4964,0.6787,0.5734,0.7963,0.6459,0.7132,0.7498,"{'pca__n_components': 0.99, 'clf__n_estimators': 205, 'clf__max_depth': 5, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.99,205.0,5.0,16.0,1.0,log2,False,,,,,,,,,,
4,RF,5,0.6225,0.6899,0.6897,0.6225,0.757,0.6225,0.6224,0.4746,0.9054,0.6228,0.9052,0.4739,0.6221,0.8042,"{'pca__n_components': 0.99, 'clf__n_estimators': 125, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.99,125.0,4.0,14.0,4.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6165,0.638,0.6242,0.6092,0.6411,0.6165,0.6068,0.7053,0.4589,0.556,0.5707,0.7895,0.6625,0.7024,"{'pca__n_components': 0.99, 'clf__n_estimators': 101, 'clf__max_depth': 3, 'clf__learning_rate': 0.0355778258467033, 'clf__subsample': 0.9794273515119631, 'clf__colsample_bytree': 0.636337426481037, 'clf__min_child_weight': 9, 'clf__gamma': 3.0066733272696644, 'clf__reg_alpha': 1.5089809274269328, 'clf__reg_lambda': 1.6268550406308082}",0.99,101.0,3.0,,,,,,0.0355778258467033,0.9794273515119631,0.636337426481037,9.0,3.0066733272696644,1.5089809274269328,1.6268550406308082,,
6,XGB,2,0.6332,0.6312,0.6123,0.608,0.6318,0.6332,0.6193,0.6262,0.4283,0.5087,0.6362,0.7964,0.7074,0.6651,"{'pca__n_components': 0.99, 'clf__n_estimators': 176, 'clf__max_depth': 3, 'clf__learning_rate': 0.05116372355962868, 'clf__subsample': 0.9004663970860639, 'clf__colsample_bytree': 0.8662041369019802, 'clf__min_child_weight': 9, 'clf__gamma': 4.674716840763148, 'clf__reg_alpha': 1.379808922214432, 'clf__reg_lambda': 1.2331098063016486}",0.99,176.0,3.0,,,,,,0.05116372355962868,0.9004663970860639,0.8662041369019802,9.0,4.674716840763148,1.379808922214432,1.2331098063016486,,
7,XGB,3,0.6636,0.6597,0.6237,0.6204,0.6611,0.6636,0.6428,0.652,0.3956,0.4924,0.6675,0.8518,0.7485,0.778,"{'pca__n_components': 0.99, 'clf__n_estimators': 142, 'clf__max_depth': 3, 'clf__learning_rate': 0.014320753996472377, 'clf__subsample': 0.9397875738348337, 'clf__colsample_bytree': 0.6085685633837533, 'clf__min_child_weight': 5, 'clf__gamma': 4.309929499818486, 'clf__reg_alpha': 0.7682336161443061, 'clf__reg_lambda': 1.8674524178714538}",0.99,142.0,3.0,,,,,,0.014320753996472377,0.9397875738348337,0.6085685633837533,5.0,4.309929499818486,0.7682336161443061,1.8674524178714538,,
8,XGB,4,0.6793,0.6623,0.6783,0.6629,0.7075,0.6793,0.6867,0.5215,0.6754,0.5886,0.8032,0.6813,0.7372,0.7545,"{'pca__n_components': 0.99, 'clf__n_estimators': 412, 'clf__max_depth': 3, 'clf__learning_rate': 0.04588675736674181, 'clf__subsample': 0.9504501560543769, 'clf__colsample_bytree': 0.7431086970152604, 'clf__min_child_weight': 5, 'clf__gamma': 4.664195666831929, 'clf__reg_alpha': 1.7581720106961654, 'clf__reg_lambda': 1.7886049392835761}",0.99,412.0,3.0,,,,,,0.04588675736674181,0.9504501560543769,0.7431086970152604,5.0,4.664195666831929,1.7581720106961654,1.7886049392835761,,
9,XGB,5,0.7177,0.7127,0.7353,0.709,0.759,0.7177,0.7246,0.564,0.792,0.6588,0.8614,0.6787,0.7592,0.8025,"{'pca__n_components': 0.99, 'clf__n_estimators': 290, 'clf__max_depth': 3, 'clf__learning_rate': 0.011645566519900348, 'clf__subsample': 0.8781317899222809, 'clf__colsample_bytree': 0.6186536250691843, 'clf__min_child_weight': 8, 'clf__gamma': 4.007867377957226, 'clf__reg_alpha': 1.271364961129357, 'clf__reg_lambda': 1.6387617556579313}",0.99,290.0,3.0,,,,,,0.011645566519900348,0.8781317899222809,0.6186536250691843,8.0,4.007867377957226,1.271364961129357,1.6387617556579313,,
10,DT,1,0.6129,0.6558,0.6238,0.596,0.6602,0.6129,0.5922,0.75,0.3904,0.5135,0.5616,0.8571,0.6786,0.7054,"{'pca__n_components': 0.99, 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': None}",0.99,,2.0,7.0,2.0,,,,,,,,,,,gini,best
11,DT,2,0.5358,0.6025,0.5693,0.5095,0.6157,0.5358,0.4966,0.4868,0.8655,0.6231,0.7183,0.2732,0.3959,0.57,"{'pca__n_components': 0.7, 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.7,,4.0,5.0,6.0,,,balanced,,,,,,,,gini,random
12,DT,3,0.7021,0.6943,0.6789,0.6821,0.6985,0.7021,0.696,0.6703,0.5467,0.6022,0.7182,0.8112,0.7619,0.6951,"{'pca__n_components': 0.9, 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",0.9,,2.0,11.0,5.0,log2,,,,,,,,,,gini,best
13,DT,4,0.6604,0.3302,0.5,0.3977,0.4361,0.6604,0.5253,0.0,0.0,0.0,0.6604,1.0,0.7954,0.5,"{'pca__n_components': 0.7, 'clf__criterion': 'entropy', 'clf__max_depth': 15, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.7,,15.0,18.0,7.0,sqrt,,balanced,,,,,,,,entropy,random
14,DT,5,0.5484,0.6805,0.6445,0.5431,0.7586,0.5484,0.5279,0.4296,0.9527,0.5922,0.9313,0.3362,0.4941,0.6463,"{'pca__n_components': 0.95, 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",0.95,,2.0,12.0,2.0,log2,,,,,,,,,,gini,best
15,RF,MEAN,0.637,0.6495,0.6407,0.6207,0.6732,0.637,0.6313,0.5838,0.5846,0.5562,0.7151,0.6968,0.6852,0.7403,N/A,,,,,,,,,,,,,,,,,
16,RF,STD,0.0302,0.0321,0.036,0.0204,0.0573,0.0302,0.03,0.0901,0.2077,0.0464,0.1366,0.1485,0.059,0.0583,N/A,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6621,0.6608,0.6548,0.6419,0.6801,0.6621,0.656,0.6138,0.55,0.5609,0.7078,0.7595,0.723,0.7405,N/A,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0397,0.032,0.0518,0.0437,0.0529,0.0397,0.049,0.0724,0.1741,0.0667,0.1207,0.0765,0.0389,0.0561,N/A,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.6119,0.5927,0.6033,0.5457,0.6338,0.6119,0.5676,0.4673,0.5511,0.4662,0.718,0.6555,0.6252,0.6234,N/A,,,,,,,,,,,,,,,,,
20,DT,STD,0.0713,0.1508,0.0701,0.1053,0.1223,0.0713,0.0798,0.2921,0.384,0.2639,0.1353,0.3285,0.1734,0.0873,N/A,,,,,,,,,,,,,,,,,
