,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,266,62,80,114,114,266,62,80,0.5876288659793815,0.8109756097560976,0.6477272727272727,0.7687861271676301
1,RF,2,175,72,132,108,108,175,72,132,0.45,0.708502024291498,0.6,0.5700325732899023
2,RF,3,286,57,94,120,120,286,57,94,0.5607476635514018,0.8338192419825073,0.6779661016949152,0.7526315789473684
3,RF,4,176,56,42,76,76,176,56,42,0.6440677966101694,0.7586206896551724,0.5757575757575758,0.8073394495412844
4,RF,5,170,113,21,178,178,170,113,21,0.8944723618090452,0.6007067137809188,0.6116838487972509,0.8900523560209425
5,XGB,1,282,46,85,109,109,282,46,85,0.5618556701030928,0.8597560975609756,0.7032258064516129,0.7683923705722071
6,XGB,2,191,56,134,106,106,191,56,134,0.44166666666666665,0.7732793522267206,0.654320987654321,0.5876923076923077
7,XGB,3,280,63,88,126,126,280,63,88,0.5887850467289719,0.8163265306122449,0.6666666666666666,0.7608695652173914
8,XGB,4,176,56,40,78,78,176,56,40,0.6610169491525424,0.7586206896551724,0.582089552238806,0.8148148148148148
9,XGB,5,190,93,34,165,165,190,93,34,0.8291457286432161,0.6713780918727915,0.6395348837209303,0.8482142857142857
10,DT,1,224,104,55,139,139,224,104,55,0.7164948453608248,0.6829268292682927,0.5720164609053497,0.8028673835125448
11,DT,2,219,28,185,55,55,219,28,185,0.22916666666666666,0.8866396761133604,0.6626506024096386,0.5420792079207921
12,DT,3,181,162,32,182,182,181,162,32,0.8504672897196262,0.5276967930029155,0.5290697674418605,0.8497652582159625
13,DT,4,212,20,91,27,27,212,20,91,0.2288135593220339,0.9137931034482759,0.574468085106383,0.6996699669966997
14,DT,5,268,15,167,32,32,268,15,167,0.16080402010050251,0.9469964664310954,0.6808510638297872,0.6160919540229886
