,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,91,91,f_classif,0.892
1,RF,2,20,20,f_classif,0.196
2,RF,3,20,20,f_classif,0.196
3,RF,4,20,20,f_classif,0.196
4,RF,5,20,20,f_classif,0.196
5,XGB,1,30,30,f_classif,0.294
6,XGB,2,40,40,f_classif,0.392
7,XGB,3,10,10,f_classif,0.098
8,XGB,4,30,30,f_classif,0.294
9,XGB,5,10,10,f_classif,0.098
10,DT,1,40,40,f_classif,0.392
11,DT,2,10,10,f_classif,0.098
12,DT,3,10,10,f_classif,0.098
13,DT,4,91,91,f_classif,0.892
14,DT,5,81,81,f_classif,0.794
